Molecule,Affinity1,Affinity2,Affinity3,Affinity4,Affinity5,Best Affinity
166259,-7.9,-9.3,-8.5,-7.2,-7.8,-9.3
37641,-8.7,-9.1,-6.8,-6.0,-6.3,-9.1
121868,-8.2,-9.1,-8.2,-7.3,-7.3,-9.1
727038,-9.1,-8.0,-7.7,-6.6,-7.0,-9.1
117987,-8.7,-8.4,-8.4,-6.8,-7.6,-8.7
70931,-8.6,-8.3,-7.7,-7.9,-6.9,-8.6
70799,-8.1,-7.8,-8.6,-7.5,-7.6,-8.6
39938,-7.3,-7.1,-8.6,-6.5,-6.2,-8.6
94600,-6.9,-7.7,-8.6,-6.8,-6.0,-8.6
16437,-8.5,-7.2,-8.2,-7.3,-7.8,-8.5
58724,-6.4,-6.4,-8.5,-5.9,-6.5,-8.5
321496,-7.7,-7.2,-8.5,-6.7,-6.7,-8.5
55862,-7.3,-7.0,-8.5,-5.9,-6.0,-8.5
128606,-8.5,-8.0,-8.0,-6.7,-6.5,-8.5
202386,-5.8,-8.3,-7.5,-6.0,-8.4,-8.4
116702,-7.4,-7.4,-8.4,-6.7,-6.8,-8.4
5836,-6.7,-7.1,-7.4,-5.9,-8.4,-8.4
408860,-7.1,-7.2,-8.4,-6.5,-7.2,-8.4
25457,-6.9,-6.8,-8.4,-6.3,-6.8,-8.4
603071,-7.5,-8.3,-8.4,-6.8,-6.4,-8.4
1014,-7.9,-7.5,-8.4,-6.3,-7.1,-8.4
194308,-5.9,-6.8,-8.3,-6.6,-6.5,-8.3
634396,-6.2,-6.3,-8.3,-5.8,-6.1,-8.3
7578,-8.3,-8.2,-8.2,-6.6,-7.4,-8.3
601359,-7.1,-7.8,-8.3,-6.7,-7.2,-8.3
127133,-8.3,-8.1,-8.1,-6.4,-7.1,-8.3
309874,-8.3,-8.0,-7.3,-6.2,-6.4,-8.3
204232,-7.9,-8.3,-7.5,-7.5,-6.9,-8.3
107701,-8.2,-7.5,-7.5,-6.2,-7.6,-8.2
292923,-7.5,-7.1,-8.2,-6.4,-6.7,-8.2
48617,-7.1,-7.7,-8.2,-6.3,-6.7,-8.2
65238,-7.4,-7.4,-8.2,-6.7,-7.2,-8.2
270916,-7.7,-7.6,-8.1,-6.4,-6.8,-8.1
150432,-6.3,-7.4,-8.1,-6.2,-7.7,-8.1
1614,-7.9,-7.9,-7.6,-7.0,-8.1,-8.1
34219,-6.0,-5.8,-8.1,-5.7,-6.3,-8.1
305329,-5.9,-6.7,-8.1,-6.1,-5.8,-8.1
25435,-7.3,-6.5,-8.1,-6.3,-6.4,-8.1
76988,-6.4,-6.5,-8.0,-6.1,-6.5,-8.0
211490,-7.8,-7.4,-8.0,-6.4,-7.5,-8.0
17128,-7.4,-7.1,-8.0,-5.9,-6.5,-8.0
36586,-6.3,-6.3,-8.0,-5.8,-5.7,-8.0
60785,-7.9,-8.0,-7.8,-6.5,-5.7,-8.0
670283,-7.7,-7.9,-7.5,-6.6,-8.0,-8.0
326375,-8.0,-7.7,-6.7,-6.4,-6.8,-8.0
11023,-6.2,-6.5,-8.0,-5.8,-6.8,-8.0
8090,-6.6,-6.3,-8.0,-5.6,-6.1,-8.0
13051,-7.6,-6.6,-8.0,-5.9,-6.9,-8.0
522131,-6.4,-6.1,-8.0,-5.4,-6.0,-8.0
59620,-7.9,-7.6,-7.7,-7.4,-6.6,-7.9
327702,-7.7,-7.9,-7.5,-6.5,-7.0,-7.9
92849,-5.8,-6.1,-7.9,-5.8,-6.0,-7.9
359472,-7.4,-7.9,-7.2,-7.2,-6.4,-7.9
288024,-6.9,-6.0,-7.9,-5.2,-5.6,-7.9
319990,-7.0,-7.9,-7.2,-6.4,-6.5,-7.9
202705,-6.4,-6.1,-7.9,-5.6,-6.2,-7.9
86467,-6.9,-7.9,-7.3,-6.7,-6.9,-7.9
110332,-6.3,-6.3,-7.9,-5.6,-5.6,-7.9
62685,-5.8,-7.8,-7.4,-6.7,-7.9,-7.9
60659,-6.8,-6.9,-7.9,-5.8,-6.7,-7.9
73254,-7.9,-7.5,-7.1,-7.1,-7.7,-7.9
120290,-6.8,-7.8,-7.1,-6.1,-7.3,-7.8
2805,-6.6,-6.4,-7.8,-6.2,-5.9,-7.8
50648,-6.4,-7.8,-7.5,-6.8,-6.9,-7.8
13316,-7.8,-7.0,-7.2,-6.3,-6.3,-7.8
43344,-7.7,-6.5,-7.8,-5.8,-7.7,-7.8
37187,-7.0,-6.5,-7.8,-6.0,-6.8,-7.8
36693,-7.3,-7.8,-6.8,-6.5,-6.3,-7.8
159566,-7.2,-7.0,-7.8,-6.3,-6.4,-7.8
339161,-7.4,-7.8,-7.7,-6.3,-6.2,-7.8
118818,-7.8,-6.8,-7.0,-6.1,-6.2,-7.8
60013,-7.0,-7.5,-7.8,-6.0,-6.3,-7.8
11881,-7.8,-7.2,-6.9,-5.7,-6.4,-7.8
308814,-7.1,-7.8,-6.8,-5.7,-5.9,-7.8
305743,-5.8,-5.6,-7.8,-5.2,-5.9,-7.8
293360,-7.0,-7.0,-7.8,-6.5,-7.1,-7.8
295486,-7.8,-7.3,-7.3,-5.7,-5.7,-7.8
37627,-6.3,-7.8,-6.1,-6.8,-7.1,-7.8
89258,-6.4,-6.0,-7.8,-5.6,-6.8,-7.8
379639,-6.1,-6.3,-7.7,-5.8,-5.8,-7.7
156516,-7.4,-7.5,-7.7,-6.5,-7.0,-7.7
85433,-7.0,-6.6,-7.7,-5.9,-6.8,-7.7
354261,-6.6,-7.7,-6.0,-6.0,-5.8,-7.7
369070,-6.1,-6.6,-7.7,-5.6,-6.0,-7.7
376254,-7.7,-7.0,-7.3,-6.3,-5.4,-7.7
30663,-6.8,-7.7,-7.7,-5.8,-6.7,-7.7
215718,-6.0,-6.8,-7.7,-5.7,-6.1,-7.7
338042,-7.1,-7.7,-6.9,-6.7,-6.3,-7.7
108783,-6.4,-6.7,-7.7,-5.8,-5.9,-7.7
63543,-7.2,-7.7,-7.4,-6.3,-6.9,-7.7
345845,-7.6,-7.7,-7.1,-7.0,-6.7,-7.7
21603,-6.9,-6.9,-7.7,-6.5,-6.7,-7.7
37553,-6.5,-6.6,-6.2,-7.7,-7.7,-7.7
12544,-6.6,-6.0,-7.7,-5.8,-5.6,-7.7
81120,-6.4,-5.9,-7.7,-5.8,-6.3,-7.7
379697,-6.6,-6.6,-7.7,-6.0,-6.5,-7.7
71097,-6.6,-6.7,-7.7,-6.3,-6.7,-7.7
11668,-6.6,-7.1,-7.7,-7.1,-6.5,-7.7
280058,-6.9,-7.7,-7.2,-6.9,-6.9,-7.7
320218,-6.5,-7.7,-5.6,-5.7,-5.9,-7.7
9037,-7.4,-7.5,-7.7,-6.7,-6.9,-7.7
343256,-7.7,-7.6,-6.9,-6.2,-6.9,-7.7
96996,-7.5,-7.4,-7.7,-6.1,-6.2,-7.7
12028,-5.6,-6.2,-7.7,-5.8,-5.3,-7.7
214009,-5.6,-6.7,-7.7,-5.6,-6.6,-7.7
96541,-7.5,-7.7,-7.6,-6.3,-6.6,-7.7
647136,-5.8,-5.7,-7.7,-5.1,-6.0,-7.7
680515,-6.3,-5.8,-7.6,-5.4,-6.1,-7.6
689002,-7.0,-6.6,-7.6,-6.1,-6.3,-7.6
209901,-5.7,-6.5,-7.6,-5.6,-5.7,-7.6
159092,-6.6,-7.4,-7.6,-5.6,-6.7,-7.6
191454,-5.9,-7.6,-6.6,-6.1,-5.7,-7.6
67436,-6.0,-7.6,-6.7,-5.2,-5.3,-7.6
146071,-5.1,-6.1,-7.6,-5.4,-5.8,-7.6
661221,-6.6,-6.7,-7.6,-5.5,-5.8,-7.6
37168,-6.5,-7.4,-7.6,-5.7,-7.3,-7.6
661122,-7.4,-7.2,-7.6,-5.8,-6.8,-7.6
149050,-6.5,-7.0,-6.7,-6.1,-7.6,-7.6
153792,-6.6,-6.9,-7.6,-5.6,-6.2,-7.6
191441,-6.2,-7.6,-7.1,-5.7,-6.1,-7.6
19824,-7.6,-6.9,-7.6,-6.1,-7.1,-7.6
61642,-6.7,-7.6,-7.5,-6.1,-6.6,-7.6
69359,-7.6,-7.4,-7.6,-6.0,-6.4,-7.6
6145,-7.4,-6.3,-7.6,-6.0,-6.6,-7.6
290311,-7.6,-6.9,-6.3,-6.6,-6.4,-7.6
303294,-6.7,-6.9,-7.6,-6.2,-6.2,-7.6
80137,-6.9,-7.6,-6.9,-6.3,-6.8,-7.6
88916,-7.2,-7.6,-6.7,-6.4,-5.9,-7.6
109466,-6.2,-6.1,-7.6,-5.6,-6.0,-7.6
329065,-6.3,-6.7,-7.6,-6.3,-6.1,-7.6
282137,-6.7,-7.3,-7.6,-7.0,-5.9,-7.6
106464,-6.2,-6.2,-7.6,-5.8,-5.7,-7.6
245091,-7.0,-7.6,-6.5,-5.9,-6.9,-7.6
24113,-7.2,-6.6,-7.6,-5.7,-5.9,-7.6
112547,-7.2,-7.5,-7.6,-6.1,-6.3,-7.6
24032,-7.6,-7.1,-7.4,-6.1,-6.4,-7.6
352888,-6.1,-7.0,-7.6,-5.8,-6.9,-7.6
228155,-6.3,-6.5,-7.6,-6.5,-6.5,-7.6
294625,-6.5,-7.5,-7.6,-6.0,-6.1,-7.6
116709,-7.5,-7.1,-7.6,-6.5,-7.1,-7.6
22070,-6.5,-6.5,-7.6,-6.3,-6.2,-7.6
135184,-6.5,-7.1,-7.6,-6.4,-6.4,-7.6
71866,-6.2,-6.1,-7.6,-5.5,-5.9,-7.6
102314,-7.3,-6.1,-7.6,-6.1,-5.4,-7.6
4292,-5.6,-6.4,-6.9,-5.8,-7.6,-7.6
298892,-6.8,-6.9,-7.4,-6.2,-7.5,-7.5
19061,-6.5,-6.9,-7.5,-7.3,-7.4,-7.5
154127,-6.0,-6.0,-7.5,-5.6,-5.6,-7.5
379468,-5.7,-6.0,-7.5,-5.1,-5.7,-7.5
137399,-7.0,-7.5,-7.4,-7.1,-6.5,-7.5
309892,-6.1,-6.4,-7.5,-6.2,-6.8,-7.5
81463,-7.5,-7.4,-6.9,-6.3,-6.7,-7.5
105432,-5.5,-6.8,-7.5,-5.6,-6.2,-7.5
374703,-6.8,-6.6,-7.5,-6.2,-6.2,-7.5
36923,-6.8,-7.0,-7.5,-5.7,-6.0,-7.5
10211,-6.8,-7.2,-7.5,-5.6,-6.7,-7.5
177862,-7.1,-7.4,-7.3,-7.5,-7.5,-7.5
158959,-6.1,-6.2,-7.5,-5.9,-6.3,-7.5
118628,-6.3,-6.5,-7.5,-5.9,-5.7,-7.5
164991,-7.0,-7.1,-7.5,-5.9,-5.9,-7.5
5157,-7.5,-7.2,-7.4,-6.4,-7.2,-7.5
205842,-6.0,-6.4,-7.5,-5.7,-6.0,-7.5
76747,-7.5,-7.3,-7.3,-6.2,-7.2,-7.5
343557,-6.1,-6.0,-7.5,-6.1,-5.5,-7.5
270063,-5.9,-6.2,-7.5,-5.0,-6.1,-7.5
6844,-6.8,-6.5,-7.5,-6.2,-6.5,-7.5
331968,-6.3,-6.3,-7.5,-6.0,-5.8,-7.5
40275,-5.5,-6.2,-7.5,-5.1,-6.1,-7.5
524615,-5.6,-6.0,-7.5,-6.2,-6.3,-7.5
80313,-6.9,-7.0,-7.5,-6.4,-6.2,-7.5
653004,-6.8,-6.9,-7.5,-6.0,-6.8,-7.5
332670,-7.0,-7.1,-7.5,-6.4,-6.9,-7.5
11991,-6.1,-6.2,-7.5,-5.8,-5.8,-7.5
382035,-7.5,-7.2,-6.9,-6.2,-7.2,-7.5
23123,-6.5,-6.2,-7.5,-5.7,-5.9,-7.5
73054,-6.3,-6.0,-7.5,-5.2,-5.3,-7.5
325014,-6.8,-7.0,-7.4,-6.2,-6.5,-7.4
166596,-6.2,-6.4,-7.4,-5.4,-7.4,-7.4
326757,-6.3,-6.7,-7.4,-6.3,-5.8,-7.4
29073,-6.3,-6.6,-7.4,-5.7,-5.8,-7.4
25678,-6.5,-6.3,-7.0,-5.5,-7.4,-7.4
31762,-7.4,-6.9,-6.9,-6.3,-6.6,-7.4
201989,-7.2,-7.2,-7.4,-5.9,-6.6,-7.4
308835,-7.4,-7.4,-7.1,-6.7,-7.2,-7.4
201863,-7.0,-6.5,-7.4,-6.1,-5.5,-7.4
283845,-6.2,-6.7,-7.4,-5.5,-5.8,-7.4
38352,-6.2,-6.5,-7.4,-5.4,-5.8,-7.4
3753,-6.6,-6.7,-7.4,-5.5,-6.7,-7.4
32984,-7.4,-7.1,-7.1,-5.9,-6.6,-7.4
371178,-6.6,-7.4,-6.4,-6.2,-6.1,-7.4
106863,-6.0,-5.8,-7.4,-6.1,-6.2,-7.4
73053,-6.0,-6.2,-6.0,-6.9,-7.4,-7.4
149312,-6.7,-6.3,-7.4,-5.6,-5.6,-7.4
61910,-5.2,-6.1,-7.4,-5.1,-4.8,-7.4
109128,-7.4,-7.0,-6.7,-6.1,-5.9,-7.4
120289,-5.1,-6.3,-5.6,-5.4,-7.4,-7.4
153391,-6.2,-6.2,-7.4,-5.5,-5.5,-7.4
78697,-5.4,-5.8,-7.4,-5.7,-7.1,-7.4
158549,-6.6,-6.3,-7.4,-6.2,-6.2,-7.4
7962,-5.8,-6.5,-7.4,-5.6,-6.2,-7.4
112541,-6.5,-7.1,-7.3,-6.3,-6.2,-7.3
107022,-6.5,-6.6,-7.3,-6.6,-6.0,-7.3
45383,-6.6,-7.3,-6.4,-5.5,-7.2,-7.3
217697,-7.3,-6.9,-7.2,-6.1,-6.3,-7.3
99796,-5.6,-5.8,-7.3,-5.4,-5.7,-7.3
216633,-6.4,-6.5,-7.3,-6.3,-6.4,-7.3
294623,-6.7,-6.0,-7.3,-5.1,-6.2,-7.3
295300,-7.0,-7.1,-7.3,-6.1,-6.0,-7.3
54709,-7.3,-6.9,-6.9,-6.3,-7.1,-7.3
35676,-5.8,-5.8,-7.3,-5.7,-5.7,-7.3
305780,-7.3,-6.3,-6.3,-6.0,-6.7,-7.3
205827,-5.4,-6.9,-7.3,-5.9,-5.3,-7.3
45527,-6.5,-6.6,-7.3,-5.9,-6.7,-7.3
228137,-6.9,-6.2,-7.3,-6.2,-6.4,-7.3
81213,-6.3,-6.2,-7.3,-6.9,-6.3,-7.3
636734,-6.3,-6.5,-7.3,-6.1,-6.1,-7.3
177365,-6.7,-7.3,-6.6,-6.4,-7.3,-7.3
164464,-5.7,-6.6,-7.3,-5.6,-6.2,-7.3
122297,-5.8,-5.6,-7.3,-5.1,-5.2,-7.3
401077,-7.0,-7.1,-7.3,-5.9,-6.2,-7.3
95909,-6.5,-7.1,-7.3,-6.1,-6.8,-7.3
9782,-6.7,-6.9,-7.3,-6.4,-6.3,-7.3
164880,-5.6,-6.4,-7.3,-5.2,-5.6,-7.3
32673,-6.0,-6.4,-7.3,-6.3,-6.1,-7.3
372499,-6.4,-6.6,-7.3,-6.2,-6.0,-7.3
13294,-6.9,-6.8,-7.2,-6.2,-6.3,-7.2
46212,-6.5,-6.4,-7.2,-5.7,-5.6,-7.2
331972,-5.6,-6.3,-7.2,-5.4,-6.2,-7.2
26112,-6.1,-5.9,-7.2,-5.2,-5.7,-7.2
30205,-6.9,-6.8,-7.2,-6.2,-6.7,-7.2
13974,-6.0,-5.8,-7.2,-5.5,-5.4,-7.2
33005,-6.6,-5.9,-7.2,-5.7,-6.0,-7.2
76549,-6.2,-5.9,-7.2,-5.7,-5.5,-7.2
83950,-6.6,-7.2,-5.9,-5.7,-6.7,-7.2
228150,-6.3,-7.2,-6.3,-6.3,-6.2,-7.2
137577,-6.0,-6.7,-7.2,-6.0,-6.2,-7.2
123389,-6.6,-6.7,-7.2,-5.6,-6.4,-7.2
24951,-6.8,-7.2,-6.7,-6.3,-6.4,-7.2
28080,-6.8,-6.7,-7.2,-5.4,-5.9,-7.2
13176,-6.4,-7.2,-6.6,-5.8,-5.8,-7.2
13800,-5.3,-5.8,-7.2,-4.9,-4.9,-7.2
11128,-5.7,-5.9,-7.2,-5.5,-6.2,-7.2
329255,-6.5,-6.0,-7.2,-5.5,-5.3,-7.2
37433,-6.9,-6.6,-7.2,-6.1,-6.7,-7.2
103775,-5.7,-5.6,-7.2,-5.9,-6.0,-7.2
17355,-7.2,-6.7,-6.9,-6.0,-6.0,-7.2
60037,-5.3,-6.1,-7.2,-5.4,-5.4,-7.2
5476,-6.4,-6.6,-7.2,-5.7,-6.1,-7.2
64876,-6.5,-7.2,-5.8,-5.4,-6.5,-7.2
15358,-5.7,-5.9,-6.9,-5.7,-7.2,-7.2
321502,-6.6,-6.4,-7.2,-5.8,-6.1,-7.2
30813,-6.4,-7.2,-7.1,-6.3,-6.0,-7.2
33570,-7.2,-6.3,-6.7,-5.9,-6.5,-7.2
61610,-6.4,-7.2,-6.4,-6.5,-6.3,-7.2
319709,-6.3,-7.2,-6.6,-5.7,-4.7,-7.2
143241,-7.2,-6.4,-6.1,-5.4,-6.9,-7.2
645330,-6.5,-6.3,-7.2,-5.0,-6.5,-7.2
43088,-5.6,-6.4,-7.1,-5.8,-5.8,-7.1
131616,-6.5,-6.7,-6.6,-6.0,-7.1,-7.1
92937,-6.6,-6.5,-7.1,-5.8,-6.5,-7.1
176736,-7.1,-6.6,-7.0,-5.7,-6.7,-7.1
281307,-5.8,-6.3,-7.1,-5.5,-6.5,-7.1
343526,-6.0,-5.9,-7.1,-6.1,-6.0,-7.1
179822,-6.0,-6.0,-7.1,-5.4,-5.8,-7.1
246999,-6.9,-7.0,-7.1,-5.6,-5.6,-7.1
329250,-6.0,-6.3,-7.1,-5.7,-6.1,-7.1
101789,-7.1,-6.3,-6.7,-5.3,-6.3,-7.1
40306,-5.5,-6.1,-6.6,-5.5,-7.1,-7.1
328010,-6.6,-7.0,-6.4,-5.8,-7.1,-7.1
632536,-6.9,-6.7,-7.1,-6.1,-5.5,-7.1
130847,-6.6,-7.0,-7.1,-6.2,-5.6,-7.1
33353,-7.1,-6.2,-7.0,-6.0,-6.3,-7.1
329249,-6.7,-7.1,-7.0,-6.0,-6.3,-7.1
378719,-6.3,-6.2,-7.1,-6.0,-6.1,-7.1
300540,-7.0,-6.8,-6.8,-6.2,-7.1,-7.1
34875,-6.2,-6.1,-7.1,-6.0,-6.1,-7.1
375982,-6.6,-7.1,-6.9,-5.5,-6.1,-7.1
150114,-6.4,-6.9,-7.1,-6.2,-6.8,-7.1
135894,-6.6,-6.3,-7.1,-6.5,-6.0,-7.1
349156,-6.8,-6.8,-7.1,-5.9,-6.8,-7.1
45572,-5.8,-6.2,-7.1,-6.2,-6.1,-7.1
107582,-6.4,-7.1,-6.4,-5.9,-6.0,-7.1
190501,-5.8,-6.0,-7.1,-5.6,-5.5,-7.1
216183,-5.7,-6.1,-7.1,-5.0,-5.7,-7.1
292140,-6.3,-6.7,-7.1,-5.6,-6.5,-7.1
55691,-6.3,-6.5,-7.1,-6.3,-6.1,-7.1
641396,-6.3,-6.6,-7.1,-5.3,-6.0,-7.1
294153,-5.8,-5.9,-7.1,-5.1,-6.6,-7.1
81856,-5.9,-6.3,-7.0,-5.3,-6.5,-7.0
116508,-6.1,-6.2,-7.0,-5.3,-5.9,-7.0
119805,-4.9,-6.0,-7.0,-5.0,-5.5,-7.0
380802,-6.7,-6.3,-7.0,-5.5,-6.5,-7.0
346578,-6.8,-7.0,-6.5,-5.4,-5.7,-7.0
37612,-6.2,-5.7,-7.0,-5.3,-5.3,-7.0
326184,-5.8,-6.6,-6.9,-6.0,-7.0,-7.0
303612,-7.0,-7.0,-6.9,-5.8,-6.2,-7.0
304902,-5.4,-5.1,-7.0,-4.9,-5.0,-7.0
105348,-6.2,-6.4,-7.0,-5.4,-5.7,-7.0
130801,-5.3,-5.5,-7.0,-5.0,-5.6,-7.0
186067,-6.8,-6.7,-7.0,-5.6,-5.5,-7.0
15910,-6.2,-6.7,-6.9,-5.6,-7.0,-7.0
26744,-6.2,-6.2,-7.0,-5.9,-5.8,-7.0
48443,-5.5,-6.1,-7.0,-4.4,-5.6,-7.0
45384,-6.5,-7.0,-6.5,-6.2,-6.0,-7.0
51683,-6.5,-6.5,-7.0,-5.7,-6.4,-7.0
42212,-5.8,-5.7,-7.0,-5.4,-5.7,-7.0
7436,-6.2,-6.0,-7.0,-5.5,-5.7,-7.0
142335,-6.4,-6.7,-7.0,-6.7,-6.9,-7.0
66695,-5.9,-7.0,-6.3,-5.5,-5.8,-7.0
41805,-6.1,-5.7,-7.0,-5.1,-5.5,-7.0
216621,-5.7,-7.0,-6.7,-5.7,-5.8,-7.0
71881,-5.8,-6.5,-7.0,-5.9,-6.0,-7.0
215275,-5.4,-5.8,-7.0,-5.4,-4.9,-7.0
156565,-6.7,-7.0,-6.8,-6.3,-6.0,-7.0
154389,-7.0,-5.7,-5.8,-5.3,-6.0,-7.0
125344,-6.4,-7.0,-6.6,-5.8,-6.2,-7.0
46075,-7.0,-5.7,-6.2,-5.2,-5.5,-7.0
33738,-6.0,-5.9,-7.0,-5.9,-6.2,-7.0
362093,-5.9,-6.6,-6.9,-5.2,-5.9,-6.9
367416,-5.7,-5.8,-6.9,-5.0,-5.2,-6.9
116644,-6.1,-6.8,-6.9,-6.2,-5.3,-6.9
159686,-6.0,-6.1,-6.9,-5.3,-6.0,-6.9
116640,-6.0,-6.8,-6.9,-6.4,-5.9,-6.9
337726,-6.5,-6.6,-6.8,-5.9,-6.9,-6.9
87838,-6.7,-6.5,-6.9,-5.9,-5.4,-6.9
88795,-6.0,-6.1,-6.9,-5.5,-5.5,-6.9
342459,-6.2,-5.6,-5.4,-5.8,-6.9,-6.9
660300,-5.5,-6.1,-6.9,-5.0,-5.4,-6.9
5426,-6.5,-6.3,-6.9,-5.9,-5.9,-6.9
55845,-5.9,-6.3,-6.9,-5.6,-6.3,-6.9
301168,-5.9,-6.1,-6.9,-5.2,-5.7,-6.9
87084,-5.9,-6.1,-6.9,-5.7,-6.6,-6.9
637578,-6.0,-6.9,-6.8,-5.1,-5.7,-6.9
38007,-6.6,-6.1,-6.9,-5.8,-5.8,-6.9
79582,-5.9,-5.7,-6.9,-5.5,-5.3,-6.9
164459,-6.1,-6.1,-6.9,-5.6,-5.7,-6.9
127886,-5.6,-6.0,-6.9,-5.9,-6.1,-6.9
275266,-6.2,-6.9,-6.6,-5.5,-6.1,-6.9
276736,-6.7,-6.5,-6.9,-5.2,-5.8,-6.9
40269,-6.6,-6.9,-6.7,-5.7,-5.7,-6.9
7572,-5.2,-6.0,-6.9,-4.8,-5.8,-6.9
241624,-6.9,-6.3,-6.3,-5.8,-5.8,-6.9
371765,-6.3,-6.6,-6.9,-5.9,-6.1,-6.9
135168,-6.2,-6.9,-5.8,-5.2,-6.8,-6.9
101298,-4.9,-5.3,-6.9,-4.9,-5.0,-6.9
10091,-5.9,-6.3,-6.9,-5.8,-5.8,-6.9
133075,-5.9,-6.3,-6.6,-6.0,-6.9,-6.9
82560,-5.2,-6.0,-6.9,-5.9,-6.0,-6.9
326385,-6.0,-5.7,-6.9,-5.5,-6.0,-6.9
120307,-5.9,-6.3,-6.9,-5.9,-5.8,-6.9
236254,-6.5,-6.4,-6.9,-6.5,-6.7,-6.9
22939,-6.0,-5.4,-6.9,-5.1,-5.7,-6.9
11912,-5.4,-5.6,-6.9,-5.1,-5.2,-6.9
164435,-6.1,-6.1,-6.9,-5.3,-5.8,-6.9
117268,-6.3,-6.5,-6.5,-6.3,-6.9,-6.9
117028,-6.5,-6.8,-6.9,-6.2,-6.7,-6.9
37003,-5.2,-5.8,-6.9,-4.8,-6.3,-6.9
319435,-5.9,-6.4,-6.8,-5.9,-5.7,-6.8
177866,-6.1,-5.7,-6.8,-5.7,-5.8,-6.8
170637,-5.9,-5.5,-6.8,-5.0,-5.4,-6.8
34910,-6.3,-5.7,-6.8,-5.8,-6.3,-6.8
