Molecule,Affinity1,Affinity2,Affinity3,Affinity4,Affinity5,Best Affinity
100708,-6.8,-6.3,-5.9,-5.1,-5.6,-6.8
324623,-6.8,-6.4,-6.8,-5.9,-6.2,-6.8
335048,-6.3,-6.1,-6.8,-5.5,-6.1,-6.8
372769,-5.9,-5.7,-6.8,-5.4,-6.0,-6.8
7867,-6.2,-5.9,-6.8,-5.2,-5.8,-6.8
50654,-6.7,-6.7,-6.8,-5.6,-6.2,-6.8
317003,-6.1,-6.4,-6.8,-5.2,-5.0,-6.8
41148,-6.8,-6.5,-6.6,-6.0,-5.9,-6.8
131467,-4.8,-6.8,-6.1,-5.2,-5.5,-6.8
400770,-6.8,-6.2,-6.5,-5.5,-6.1,-6.8
120913,-5.8,-5.8,-6.8,-5.5,-5.1,-6.8
39984,-6.1,-5.7,-6.8,-5.1,-5.6,-6.8
80731,-6.0,-6.8,-5.7,-6.4,-5.6,-6.8
369066,-5.2,-6.0,-6.8,-5.6,-5.7,-6.8
215721,-5.9,-6.2,-6.8,-5.9,-6.1,-6.8
49643,-6.2,-6.8,-6.2,-5.1,-6.7,-6.8
105781,-6.8,-6.6,-6.5,-5.4,-5.5,-6.8
114414,-5.9,-6.7,-6.8,-5.6,-5.6,-6.8
112125,-6.2,-6.6,-6.8,-5.3,-5.8,-6.8
3323,-6.8,-5.8,-6.5,-5.6,-5.8,-6.8
145992,-5.7,-6.0,-6.8,-5.7,-6.2,-6.8
111118,-5.9,-5.8,-6.8,-5.0,-5.3,-6.8
146554,-6.1,-6.5,-6.8,-5.7,-6.8,-6.8
89201,-6.1,-6.6,-6.8,-5.5,-6.1,-6.8
339594,-6.4,-6.8,-6.0,-6.4,-6.5,-6.8
310113,-5.7,-5.9,-6.8,-4.8,-4.9,-6.8
310354,-6.6,-6.6,-6.8,-5.5,-6.8,-6.8
142446,-6.2,-6.8,-6.0,-5.8,-5.9,-6.8
61888,-5.4,-5.8,-6.8,-5.4,-5.4,-6.8
331977,-6.1,-5.9,-6.7,-5.5,-5.8,-6.7
338106,-6.5,-5.3,-6.7,-6.0,-6.1,-6.7
100058,-6.6,-5.9,-6.7,-5.3,-5.8,-6.7
321491,-6.7,-6.4,-6.3,-5.6,-5.9,-6.7
170578,-5.5,-5.8,-6.7,-5.1,-6.3,-6.7
372275,-6.5,-5.6,-6.7,-5.7,-6.0,-6.7
62611,-5.4,-5.7,-6.7,-5.1,-6.5,-6.7
158413,-6.7,-6.5,-6.6,-6.5,-5.9,-6.7
637359,-5.8,-5.7,-6.7,-5.3,-6.1,-6.7
154585,-6.7,-6.5,-6.1,-5.4,-6.0,-6.7
170955,-6.7,-6.5,-6.0,-5.9,-6.2,-6.7
15359,-5.6,-5.6,-6.3,-4.7,-6.7,-6.7
65689,-6.7,-6.5,-6.4,-5.6,-5.7,-6.7
14771,-5.6,-5.5,-6.7,-5.4,-5.0,-6.7
114449,-6.1,-6.2,-6.7,-5.9,-6.3,-6.7
109747,-5.7,-6.2,-6.7,-5.8,-5.8,-6.7
106282,-6.1,-5.6,-6.7,-5.6,-5.8,-6.7
93427,-6.7,-6.7,-6.7,-5.8,-6.1,-6.7
64859,-5.8,-5.8,-6.7,-4.8,-5.3,-6.7
17362,-6.4,-6.4,-6.7,-5.7,-6.3,-6.7
163443,-6.7,-5.7,-5.4,-5.0,-5.0,-6.7
26113,-6.3,-6.2,-6.7,-5.8,-5.7,-6.7
375981,-6.6,-5.9,-6.5,-6.7,-5.8,-6.7
298793,-4.8,-5.4,-6.7,-5.1,-4.9,-6.7
279895,-5.3,-5.2,-6.7,-5.0,-5.4,-6.7
269904,-5.7,-5.6,-6.7,-5.2,-5.3,-6.7
242557,-6.7,-6.0,-6.7,-5.2,-6.2,-6.7
216623,-5.1,-6.7,-6.5,-6.0,-5.8,-6.7
351674,-6.6,-5.8,-6.7,-5.4,-6.5,-6.7
203912,-5.7,-6.6,-6.4,-5.9,-6.7,-6.7
214029,-6.0,-5.6,-6.7,-5.7,-5.8,-6.7
204665,-5.3,-6.7,-5.6,-5.7,-4.9,-6.7
46385,-5.3,-6.3,-5.4,-5.7,-6.7,-6.7
215276,-5.6,-5.4,-6.7,-5.7,-6.0,-6.7
367480,-6.3,-5.6,-6.6,-5.1,-5.6,-6.6
46492,-5.9,-5.8,-6.6,-5.7,-5.9,-6.6
84100,-6.3,-6.6,-6.5,-6.6,-6.6,-6.6
76478,-6.4,-6.4,-6.6,-5.4,-6.1,-6.6
69421,-6.1,-5.7,-6.6,-5.3,-5.7,-6.6
679525,-6.6,-6.4,-6.5,-5.0,-5.8,-6.6
66122,-6.2,-6.2,-6.6,-4.9,-5.3,-6.6
56287,-6.0,-6.2,-6.6,-5.6,-6.1,-6.6
41098,-6.2,-6.1,-6.6,-5.6,-6.0,-6.6
630602,-5.5,-6.0,-6.2,-5.0,-6.6,-6.6
6821,-5.5,-5.6,-6.6,-4.9,-5.8,-6.6
55152,-5.5,-5.5,-5.7,-6.6,-4.8,-6.6
99867,-6.4,-6.6,-5.7,-6.6,-5.5,-6.6
15372,-5.7,-6.0,-6.6,-5.2,-5.9,-6.6
12262,-5.9,-6.2,-6.6,-5.7,-5.7,-6.6
328087,-5.9,-5.3,-6.6,-5.3,-6.4,-6.6
124818,-5.4,-5.9,-6.6,-4.9,-5.5,-6.6
147358,-6.3,-6.2,-6.6,-5.7,-6.3,-6.6
146771,-6.6,-6.2,-4.8,-5.9,-6.6,-6.6
204939,-6.0,-5.3,-6.6,-4.8,-5.0,-6.6
11664,-5.5,-5.8,-6.6,-4.9,-5.6,-6.6
135412,-6.6,-6.6,-5.9,-5.8,-6.4,-6.6
13156,-6.0,-6.2,-6.6,-5.7,-5.5,-6.6
326182,-6.2,-6.2,-6.6,-5.4,-6.2,-6.6
117554,-6.6,-6.5,-6.3,-6.1,-6.5,-6.6
170621,-5.2,-5.4,-6.6,-5.3,-4.6,-6.6
140899,-5.3,-5.4,-6.6,-5.0,-5.5,-6.6
203837,-5.7,-6.5,-6.6,-6.1,-5.9,-6.6
144694,-5.9,-5.9,-6.6,-5.2,-5.9,-6.6
33575,-5.8,-6.3,-6.6,-6.0,-6.0,-6.6
43308,-6.0,-6.0,-6.5,-5.3,-5.9,-6.5
146770,-5.1,-6.5,-5.8,-5.2,-5.1,-6.5
378717,-5.1,-5.5,-6.5,-4.9,-5.2,-6.5
28341,-5.1,-6.1,-6.5,-5.9,-5.3,-6.5
4429,-6.4,-6.5,-5.8,-6.5,-5.8,-6.5
43506,-6.0,-5.9,-6.5,-5.4,-5.9,-6.5
3193,-5.5,-5.6,-6.5,-4.4,-5.0,-6.5
80735,-6.5,-6.0,-5.6,-5.6,-4.8,-6.5
65537,-6.1,-6.5,-5.5,-5.5,-6.0,-6.5
122385,-5.9,-5.6,-6.5,-4.9,-5.4,-6.5
6910,-5.3,-6.1,-6.5,-5.0,-6.5,-6.5
44584,-4.9,-5.3,-6.5,-5.0,-5.5,-6.5
3076,-5.7,-5.9,-6.5,-5.9,-6.2,-6.5
252359,-6.3,-5.4,-6.5,-5.3,-5.6,-6.5
11296,-5.7,-5.8,-6.5,-4.8,-5.6,-6.5
17148,-6.1,-6.1,-6.4,-5.6,-6.5,-6.5
98857,-5.7,-5.7,-6.5,-5.1,-5.5,-6.5
96491,-5.7,-5.9,-6.5,-5.8,-6.0,-6.5
127458,-5.1,-5.3,-6.5,-4.8,-5.3,-6.5
34879,-5.5,-6.3,-6.5,-5.2,-6.5,-6.5
126226,-5.4,-5.2,-6.5,-5.6,-5.7,-6.5
93945,-5.1,-6.2,-6.5,-5.1,-5.2,-6.5
6268,-6.0,-5.7,-6.5,-4.9,-5.7,-6.5
211340,-5.6,-6.5,-6.2,-5.7,-6.3,-6.5
33173,-6.5,-5.9,-6.4,-5.1,-5.6,-6.5
367474,-6.5,-6.1,-6.4,-5.6,-5.3,-6.5
50651,-6.5,-6.2,-6.2,-6.0,-6.1,-6.5
503425,-4.7,-5.0,-6.5,-4.5,-5.7,-6.5
637343,-5.6,-5.6,-6.5,-5.3,-5.7,-6.5
328111,-5.8,-6.2,-6.5,-5.9,-5.7,-6.5
110899,-5.1,-6.1,-6.1,-5.7,-6.5,-6.5
210816,-5.5,-5.5,-6.5,-5.4,-5.9,-6.5
50688,-6.1,-5.8,-6.5,-6.2,-5.6,-6.5
133351,-5.4,-6.3,-6.4,-5.3,-5.8,-6.4
270071,-5.2,-6.4,-6.3,-5.2,-6.2,-6.4
60339,-6.4,-6.3,-5.4,-6.0,-6.0,-6.4
645033,-6.3,-6.4,-6.4,-5.3,-6.1,-6.4
151252,-5.9,-5.7,-6.4,-5.5,-5.8,-6.4
638080,-5.3,-5.5,-6.4,-5.8,-4.9,-6.4
204920,-5.3,-5.4,-6.4,-5.1,-5.7,-6.4
157522,-6.3,-5.8,-6.4,-5.3,-5.7,-6.4
204262,-4.9,-5.6,-6.4,-5.4,-6.0,-6.4
16631,-4.7,-4.6,-6.4,-4.3,-5.5,-6.4
201631,-5.6,-6.4,-5.6,-5.5,-4.6,-6.4
215585,-5.3,-5.7,-6.4,-5.4,-5.0,-6.4
1847,-5.5,-5.8,-6.4,-5.3,-6.2,-6.4
284234,-4.7,-5.1,-6.4,-4.5,-5.0,-6.4
379651,-5.7,-6.2,-6.4,-6.3,-6.4,-6.4
37812,-5.5,-5.4,-6.4,-5.2,-5.5,-6.4
36525,-5.5,-5.6,-6.4,-5.4,-5.8,-6.4
374814,-5.3,-5.8,-6.4,-4.8,-4.9,-6.4
81750,-5.3,-6.4,-5.9,-5.1,-4.8,-6.4
10416,-6.3,-6.4,-6.2,-5.6,-6.4,-6.4
12488,-5.4,-5.8,-6.4,-5.1,-5.8,-6.4
372221,-5.1,-5.0,-6.4,-4.7,-4.7,-6.4
329052,-5.5,-5.7,-6.4,-5.3,-5.8,-6.4
366289,-5.9,-6.0,-6.4,-5.0,-5.0,-6.4
319424,-4.9,-4.9,-6.4,-4.8,-4.3,-6.4
33010,-6.2,-5.3,-6.4,-5.2,-5.0,-6.4
104969,-5.2,-5.2,-6.4,-4.9,-5.2,-6.4
109813,-5.4,-5.5,-6.4,-4.9,-5.2,-6.4
105827,-5.5,-6.1,-5.9,-5.4,-6.4,-6.4
103520,-6.0,-5.7,-6.4,-6.0,-5.9,-6.4
372767,-6.1,-6.3,-6.4,-5.8,-5.3,-6.4
76350,-5.0,-5.7,-6.3,-5.5,-5.6,-6.3
319994,-5.8,-6.3,-6.0,-5.5,-5.6,-6.3
11150,-5.6,-5.8,-6.3,-5.5,-5.2,-6.3
328130,-5.6,-6.1,-6.3,-5.3,-4.9,-6.3
637317,-6.0,-6.1,-6.3,-5.7,-5.5,-6.3
63680,-6.1,-6.1,-6.1,-5.3,-6.3,-6.3
110562,-5.4,-5.3,-6.3,-5.3,-5.2,-6.3
366801,-6.3,-5.9,-5.8,-5.6,-6.1,-6.3
375105,-5.9,-5.8,-6.3,-5.0,-6.3,-6.3
82339,-5.1,-4.9,-6.3,-5.0,-5.0,-6.3
138389,-6.3,-5.4,-6.1,-5.2,-5.3,-6.3
285669,-4.9,-5.4,-6.3,-4.7,-5.9,-6.3
78130,-5.5,-5.7,-6.3,-5.2,-5.1,-6.3
343550,-5.3,-6.3,-6.0,-4.9,-6.3,-6.3
9852,-5.5,-6.1,-6.3,-5.8,-6.0,-6.3
29471,-4.2,-4.9,-6.3,-4.7,-4.9,-6.3
407628,-6.3,-6.2,-6.3,-5.3,-5.7,-6.3
163823,-5.7,-5.9,-6.3,-4.9,-5.6,-6.3
138398,-6.0,-6.0,-6.3,-5.4,-5.7,-6.3
157725,-6.3,-5.8,-5.7,-5.2,-6.3,-6.3
680495,-5.4,-5.9,-6.3,-5.6,-5.6,-6.3
11826,-5.5,-5.6,-6.3,-5.5,-5.4,-6.3
168225,-5.1,-5.1,-6.3,-5.3,-4.7,-6.3
227309,-5.3,-5.2,-6.3,-5.2,-5.2,-6.3
303304,-6.2,-6.3,-6.0,-5.2,-5.7,-6.3
44750,-5.7,-6.0,-6.2,-5.7,-6.3,-6.3
118723,-5.6,-5.5,-6.3,-5.2,-5.7,-6.3
158383,-5.8,-6.2,-6.2,-5.8,-6.1,-6.2
166637,-5.1,-5.6,-6.2,-4.7,-4.6,-6.2
177407,-5.4,-4.8,-6.2,-5.0,-4.3,-6.2
103770,-5.3,-5.8,-6.0,-5.4,-6.2,-6.2
126347,-5.8,-5.5,-6.2,-4.9,-5.0,-6.2
154718,-5.1,-5.0,-6.2,-4.9,-4.8,-6.2
643029,-5.4,-5.5,-6.2,-5.4,-5.6,-6.2
11624,-5.2,-5.4,-6.2,-4.8,-5.7,-6.2
83237,-4.9,-5.1,-6.2,-5.1,-5.0,-6.2
665497,-6.0,-6.2,-6.1,-5.9,-5.3,-6.2
11667,-6.2,-6.0,-6.2,-5.8,-6.2,-6.2
672865,-5.5,-5.9,-6.2,-5.6,-5.7,-6.2
79486,-5.8,-5.4,-6.2,-5.0,-6.0,-6.2
71795,-6.1,-6.2,-6.2,-5.0,-5.7,-6.2
7218,-6.2,-6.0,-6.2,-5.3,-5.5,-6.2
133356,-5.6,-5.9,-6.2,-5.7,-5.7,-6.2
125095,-5.8,-6.2,-6.2,-5.2,-5.5,-6.2
88600,-5.5,-5.9,-6.2,-5.8,-5.7,-6.2
57624,-5.8,-5.8,-5.0,-5.3,-6.2,-6.2
347463,-6.1,-5.7,-6.2,-6.1,-5.9,-6.2
20618,-4.7,-4.6,-6.2,-4.7,-4.3,-6.2
44556,-5.3,-5.8,-6.2,-5.2,-5.1,-6.2
33478,-5.7,-5.5,-6.2,-5.2,-5.6,-6.2
364889,-5.7,-5.9,-6.2,-5.1,-4.6,-6.2
260594,-5.6,-5.8,-5.2,-6.2,-4.7,-6.2
330770,-5.5,-5.4,-5.9,-5.6,-6.2,-6.2
21709,-5.3,-5.5,-6.2,-4.4,-4.6,-6.2
201868,-6.0,-6.1,-6.2,-5.3,-5.7,-6.2
234945,-5.5,-5.3,-6.2,-5.4,-5.1,-6.2
295404,-5.3,-5.4,-6.2,-5.2,-5.4,-6.2
316458,-5.1,-6.1,-6.2,-5.2,-5.3,-6.2
332473,-5.7,-5.7,-6.2,-5.5,-5.5,-6.2
308849,-6.0,-6.2,-5.0,-4.7,-5.0,-6.2
45745,-4.9,-6.0,-6.1,-4.8,-5.9,-6.1
646976,-5.0,-5.4,-6.1,-4.4,-5.0,-6.1
378711,-5.7,-5.0,-6.1,-4.5,-5.3,-6.1
47619,-5.4,-6.0,-6.1,-5.5,-5.9,-6.1
47680,-5.4,-6.1,-6.0,-5.1,-5.4,-6.1
217306,-5.6,-5.9,-6.1,-4.6,-6.1,-6.1
66241,-5.5,-5.3,-4.8,-4.6,-6.1,-6.1
152551,-5.3,-5.6,-6.1,-5.0,-5.0,-6.1
149054,-6.1,-5.8,-6.0,-5.2,-5.4,-6.1
19123,-5.9,-5.9,-5.6,-4.7,-6.1,-6.1
140892,-4.6,-5.7,-6.1,-4.3,-5.0,-6.1
91356,-5.0,-6.1,-5.8,-4.9,-5.4,-6.1
19136,-5.3,-5.7,-6.1,-5.3,-5.2,-6.1
13487,-5.8,-6.1,-5.5,-5.6,-5.7,-6.1
134199,-5.6,-6.0,-6.1,-5.3,-5.9,-6.1
27389,-5.0,-5.0,-6.1,-5.4,-5.8,-6.1
39047,-5.6,-6.1,-6.1,-5.0,-5.5,-6.1
38042,-6.1,-5.5,-5.9,-4.3,-5.8,-6.1
84200,-4.6,-4.5,-6.1,-4.5,-4.3,-6.1
319034,-4.8,-4.8,-6.1,-5.2,-4.8,-6.1
30930,-4.8,-5.3,-6.1,-4.8,-5.4,-6.1
331208,-5.1,-5.3,-6.1,-5.0,-4.8,-6.1
25673,-5.7,-5.5,-6.1,-5.2,-5.7,-6.1
660151,-5.0,-4.5,-6.1,-4.4,-4.6,-6.1
16873,-5.1,-5.0,-6.1,-4.6,-5.3,-6.1
361570,-5.7,-5.9,-6.1,-5.0,-5.8,-6.1
366802,-6.1,-5.7,-5.7,-4.6,-5.0,-6.1
15776,-5.3,-5.4,-6.1,-5.1,-5.5,-6.1
15784,-5.4,-5.5,-6.1,-5.3,-5.2,-6.1
19637,-4.7,-5.4,-5.3,-5.4,-6.1,-6.1
51349,-6.1,-5.5,-6.0,-4.9,-5.6,-6.1
16722,-4.9,-6.0,-6.1,-5.1,-5.8,-6.1
144982,-6.0,-5.8,-6.0,-5.4,-5.5,-6.0
524385,-4.9,-5.0,-6.0,-4.2,-4.5,-6.0
88998,-5.3,-4.7,-6.0,-4.6,-5.0,-6.0
40614,-5.6,-6.0,-6.0,-5.2,-6.0,-6.0
87010,-5.7,-5.3,-6.0,-5.1,-5.9,-6.0
27305,-5.7,-6.0,-5.9,-5.5,-5.3,-6.0
103331,-5.6,-6.0,-5.9,-4.6,-4.9,-6.0
14142,-5.6,-5.6,-6.0,-5.8,-5.5,-6.0
165701,-5.4,-5.7,-6.0,-5.0,-5.0,-6.0
89602,-5.8,-5.2,-6.0,-5.2,-5.4,-6.0
211356,-4.6,-6.0,-5.0,-4.7,-5.1,-6.0
303244,-5.1,-5.4,-6.0,-4.7,-5.4,-6.0
30260,-5.1,-6.0,-5.6,-5.7,-5.6,-6.0
155698,-5.0,-5.0,-6.0,-4.9,-4.8,-6.0
150954,-5.0,-5.4,-6.0,-4.9,-5.0,-6.0
195031,-4.4,-4.5,-5.9,-4.2,-4.7,-5.9
103189,-5.9,-5.9,-5.5,-5.1,-5.4,-5.9
280594,-5.1,-5.8,-5.9,-5.3,-5.6,-5.9
75241,-4.9,-5.3,-5.9,-5.0,-5.1,-5.9
88324,-4.4,-4.6,-5.9,-5.1,-4.7,-5.9
281624,-5.5,-5.0,-5.9,-4.8,-4.5,-5.9
77913,-5.2,-5.1,-5.9,-4.4,-4.6,-5.9
55453,-4.6,-4.9,-5.9,-4.9,-4.9,-5.9
18883,-5.7,-5.9,-4.9,-4.7,-5.0,-5.9
10173,-5.5,-5.9,-5.8,-5.2,-5.7,-5.9
35964,-4.8,-5.3,-5.9,-4.4,-5.4,-5.9
278323,-5.6,-5.0,-5.9,-4.2,-4.8,-5.9
13658,-5.4,-5.4,-5.9,-5.1,-4.8,-5.9
301167,-5.5,-5.7,-5.7,-5.9,-5.6,-5.9
23225,-4.7,-4.9,-5.9,-5.5,-5.7,-5.9
109231,-4.5,-5.6,-5.9,-4.8,-5.5,-5.9
51351,-5.2,-5.8,-5.9,-4.3,-5.4,-5.9
89429,-5.5,-5.2,-5.5,-4.8,-5.9,-5.9
220030,-5.5,-5.1,-5.9,-4.6,-4.7,-5.9
168221,-5.4,-5.3,-5.9,-4.6,-5.0,-5.9
91378,-4.8,-5.9,-5.3,-4.4,-3.8,-5.9
6866,-5.4,-5.2,-5.9,-5.3,-5.2,-5.9
15362,-5.4,-5.5,-5.8,-4.9,-5.6,-5.8
159398,-5.0,-5.2,-5.8,-5.0,-5.0,-5.8
19108,-5.1,-5.4,-5.8,-5.1,-5.6,-5.8
57165,-4.4,-4.7,-5.8,-4.5,-5.4,-5.8
151888,-5.4,-5.4,-5.3,-5.8,-5.5,-5.8
341074,-5.3,-5.7,-5.6,-4.6,-5.8,-5.8
89821,-4.6,-5.8,-5.3,-5.3,-5.5,-5.8
204976,-5.7,-5.2,-5.8,-4.7,-5.3,-5.8
327444,-5.3,-5.5,-5.8,-5.4,-5.0,-5.8
41092,-5.2,-5.5,-5.3,-4.7,-5.8,-5.8
111194,-5.8,-5.4,-5.7,-5.0,-5.6,-5.8
91396,-5.3,-5.6,-5.8,-4.3,-5.7,-5.8
525721,-5.3,-5.1,-5.6,-4.8,-5.8,-5.8
148832,-5.6,-5.8,-5.4,-4.9,-5.1,-5.8
36753,-5.3,-5.4,-5.8,-4.7,-5.6,-5.8
62609,-5.0,-5.3,-5.8,-5.2,-5.4,-5.8
60239,-5.0,-4.9,-5.8,-4.5,-5.1,-5.8
623638,-5.8,-5.7,-5.3,-4.5,-4.9,-5.8
131986,-4.5,-4.3,-5.8,-4.0,-4.1,-5.8
126405,-4.7,-4.8,-5.8,-4.9,-4.9,-5.8
88962,-4.6,-4.7,-5.8,-4.4,-5.2,-5.8
88883,-4.9,-5.0,-5.7,-4.5,-5.6,-5.7
9358,-4.7,-4.4,-5.7,-5.0,-4.4,-5.7
106261,-5.0,-4.9,-5.7,-5.3,-5.2,-5.7
112677,-5.1,-5.4,-5.7,-4.7,-5.2,-5.7
327693,-5.0,-5.2,-5.7,-4.8,-5.0,-5.7
366086,-5.7,-5.5,-5.3,-5.4,-5.6,-5.7
83345,-5.1,-5.1,-5.7,-4.9,-4.9,-5.7
40500,-4.8,-5.2,-5.7,-4.7,-5.1,-5.7
56906,-4.4,-4.6,-5.7,-4.6,-4.8,-5.7
162915,-4.6,-5.5,-5.7,-4.5,-4.5,-5.7
42135,-5.3,-5.6,-5.7,-5.0,-5.6,-5.7
60548,-4.4,-4.4,-5.7,-4.7,-5.7,-5.7
79538,-4.9,-5.1,-5.7,-5.1,-5.5,-5.7
299119,-4.8,-5.7,-5.7,-4.7,-5.6,-5.7
15364,-5.3,-4.9,-5.7,-5.2,-5.0,-5.7
29200,-5.5,-5.3,-5.7,-4.4,-5.2,-5.7
14303,-4.8,-5.3,-5.6,-4.8,-5.3,-5.6
136065,-4.7,-4.5,-5.6,-4.4,-4.6,-5.6
19141,-4.6,-5.6,-5.5,-5.6,-4.8,-5.6
75885,-5.3,-4.8,-5.6,-5.0,-5.5,-5.6
97920,-5.3,-5.6,-5.0,-5.4,-4.7,-5.6
287495,-4.5,-4.8,-5.6,-4.8,-5.4,-5.6
64952,-3.8,-4.2,-5.6,-4.3,-3.9,-5.6
50858,-4.6,-5.0,-5.6,-5.2,-5.0,-5.6
79559,-4.6,-5.6,-5.5,-4.7,-5.4,-5.6
124146,-5.5,-5.6,-5.6,-5.2,-5.6,-5.6
10428,-4.6,-5.4,-5.3,-4.7,-5.6,-5.6
509563,-5.0,-4.2,-5.6,-5.1,-4.4,-5.6
203065,-4.7,-4.6,-5.5,-4.6,-5.6,-5.6
326422,-4.5,-4.9,-5.6,-4.4,-4.4,-5.6
637290,-4.9,-5.4,-5.5,-5.0,-5.0,-5.5
367469,-5.2,-5.5,-5.3,-5.0,-5.0,-5.5
48388,-4.0,-5.5,-5.5,-4.4,-5.3,-5.5
147866,-5.3,-5.5,-5.4,-5.3,-5.0,-5.5
13616,-4.9,-5.5,-5.4,-4.1,-4.9,-5.5
238929,-5.2,-5.0,-5.5,-5.0,-5.1,-5.5
373600,-4.6,-4.8,-5.5,-5.4,-4.1,-5.5
37955,-5.5,-5.3,-5.0,-4.7,-4.8,-5.5
121908,-4.7,-5.3,-5.3,-5.0,-5.5,-5.5
120312,-4.4,-4.5,-5.5,-4.7,-4.3,-5.5
21333,-4.2,-5.5,-5.3,-5.1,-5.0,-5.5
59776,-5.1,-5.1,-5.4,-5.3,-5.2,-5.4
48422,-4.5,-4.9,-5.4,-4.4,-4.7,-5.4
20586,-4.8,-5.2,-5.4,-4.8,-5.3,-5.4
379536,-4.4,-4.7,-5.4,-4.4,-4.5,-5.4
55957,-4.8,-4.8,-5.4,-4.7,-4.9,-5.4
53275,-4.3,-5.2,-5.0,-4.3,-5.4,-5.4
174084,-4.8,-5.3,-5.2,-4.8,-4.9,-5.3
379388,-5.3,-5.3,-5.3,-4.7,-4.4,-5.3
130872,-4.9,-4.8,-5.3,-4.7,-4.7,-5.3
77596,-4.5,-4.6,-5.3,-4.8,-4.5,-5.3
19487,-4.5,-4.9,-5.2,-4.3,-4.6,-5.2
140873,-5.1,-4.8,-4.8,-4.7,-4.3,-5.1
39336,-4.5,-4.5,-5.1,-4.1,-5.0,-5.1
299968,-4.2,-5.1,-4.6,-4.5,-4.8,-5.1
118832,-4.4,-4.4,-4.8,-5.0,-5.1,-5.1
31208,-4.6,-5.0,-5.1,-4.7,-4.9,-5.1
